Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,0.401185,-497.313
32,0.955679,45.98,-495.171
33,0.913018,38.144,-484.101
34,0.872261,33.6448,-474.092
35,0.833324,32.5272,-457.691
36,0.796124,32.021,-431.76
37,0.760586,31.6397,-433.811
38,0.726633,31.619,-432.961
39,0.694197,31.3832,-420.676
40,0.663208,31.3188,-405.461
41,0.633603,31.9003,-382.733
42,0.605319,31.3479,-382.894
43,0.578298,31.3681,-370.025
44,0.552483,31.4588,-362.648
45,0.52782,31.4354,-354.831
46,0.504258,31.5209,-361.48
47,0.481748,31.637,-350.907
48,0.460243,31.5656,-343.849
49,0.439698,31.6121,-321.462
50,0.42007,31.6139,-304.198
51,0.401318,31.789,-287.879
52,0.383404,31.3348,-288.348
53,0.366289,31.1446,-283.651
54,0.349938,31.0155,-274.016
55,0.334317,30.7423,-267.043
56,0.319393,30.6017,-271.22
57,0.305135,30.7314,-276.195
58,0.291514,30.4977,-280.237
59,0.278501,30.5095,-268.778
60,0.266069,30.5921,-259.056
61,0.254192,30.8544,-262.911
62,0.242845,30.4627,-253.684
63,0.232004,30.4534,-269.636
64,0.221648,30.4108,-271.638
65,0.211753,30.4443,-273.959
66,0.202301,30.3914,-269.996
67,0.19327,30.3335,-263.404
68,0.184643,30.5208,-269.535
69,0.1764,30.3655,-266.874
70,0.168526,30.2914,-248.468
71,0.161003,31.4336,-241.978
72,0.153816,31.1149,-241.18
73,0.146949,30.7759,-237.409
74,0.14039,30.9567,-225.903
75,0.134123,30.7449,-211.371
76,0.128136,30.6103,-211.088
77,0.122416,30.272,-200.027
78,0.116951,30.0226,-192.794
79,0.11173,29.9284,-175.787
80,0.106743,29.8103,-176.449
81,0.101978,30.4236,-171.137
82,0.0974256,29.7809,-171.803
83,0.0930765,29.6006,-153
