Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,165.106,-497.313
32,0.966572,113.321,-495.171
33,0.934027,107.615,-484.13
34,0.902578,97.2388,-475.196
35,0.872188,99.1897,-460.967
36,0.842822,98.3383,-454.219
37,0.814444,95.6275,-452.345
38,0.787021,92.5105,-437.358
39,0.760522,98.7242,-421.837
40,0.734915,90.9814,-409.96
41,0.710171,93.593,-427.789
42,0.686259,94.5229,-409.914
43,0.663153,96.1686,-392.212
44,0.640824,94.6958,-365.492
45,0.619248,93.4315,-358.153
46,0.598397,95.8923,-359.147
47,0.578249,94.064,-350.896
48,0.55878,99.1903,-351.052
49,0.539966,94.1478,-331.736
50,0.521785,95.5331,-321.211
51,0.504216,96.3668,-335.53
52,0.487239,92.3296,-338.644
53,0.470834,94.6204,-324.85
54,0.454981,101.063,-341.005
55,0.439662,95.5424,-340.392
56,0.424858,93.9866,-334.061
57,0.410553,95.682,-333.011
58,0.39673,94.4365,-322.591
59,0.383372,95.9467,-315.878
60,0.370464,92.8118,-302.943
61,0.35799,91.6457,-288.12
62,0.345937,97.3739,-290.52
63,0.334289,98.0983,-304.76
64,0.323033,96.3633,-312.738
65,0.312157,101.047,-334.929
66,0.301646,94.8103,-344.357
67,0.29149,100.4,-367.754
68,0.281675,99.6963,-359.132
69,0.272191,103.511,-392.198
70,0.263027,103.569,-397.197
71,0.254171,101.976,-393.976
72,0.245613,101.515,-409.168
73,0.237343,100.103,-402.529
74,0.229351,107.58,-403.109
75,0.221629,99.819,-382.408
76,0.214167,100.377,-386.226
77,0.206956,109.696,-382.562
78,0.199988,105.15,-397.996
79,0.193254,106.617,-381.431
80,0.186747,101.768,-363.511
81,0.180459,106.329,-350.643
82,0.174383,109.716,-344.224
83,0.168512,102.07,-329.144
84,0.162838,108.509,-326.937
