Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,109.925,-497.313
32,0.966572,79.1154,-495.171
33,0.934027,68.886,-484.101
34,0.902578,65.3623,-476.781
35,0.872188,65.6129,-462.31
36,0.842822,62.7181,-445.197
37,0.814444,65.0902,-451.577
38,0.787021,62.3376,-448.702
39,0.760522,63.3539,-432.046
40,0.734915,60.8859,-419.47
41,0.710171,60.8194,-438.314
42,0.686259,65.4188,-419.387
43,0.663153,60.63,-401.684
44,0.640824,63.3696,-381.591
45,0.619248,63.7454,-372.935
46,0.598397,63.7241,-373.053
47,0.578249,65.6646,-362.447
48,0.55878,61.9754,-359.184
49,0.539966,61.2351,-353.983
50,0.521785,64.2672,-341.233
51,0.504216,64.0894,-353.826
52,0.487239,61.0874,-355.11
53,0.470834,62.2117,-339.67
54,0.454981,63.0819,-354.342
55,0.439662,62.2274,-352.054
56,0.424858,60.8495,-342.85
57,0.410553,62.828,-347.92
58,0.39673,63.5987,-333.345
59,0.383372,61.863,-318.923
60,0.370464,63.0786,-308.421
61,0.35799,62.6304,-298.034
62,0.345937,62.8147,-280.147
63,0.334289,59.9992,-271.014
64,0.323033,64.0867,-268.138
65,0.312157,59.392,-247.454
66,0.301646,59.6361,-224.386
67,0.29149,62.075,-203.444
68,0.281675,58.8354,-205.535
69,0.272191,57.9489,-215.822
70,0.263027,59.5732,-221.675
71,0.254171,62.3795,-208.231
72,0.245613,59.7577,-209.34
73,0.237343,61.1385,-199.504
74,0.229351,60.5229,-188.948
75,0.221629,60.4241,-181.34
76,0.214167,58.122,-165.822
77,0.206956,55.1627,-164.258
78,0.199988,55.9574,-151.486
79,0.193254,55.7161,-150.413
80,0.186747,56.136,-143.541
81,0.180459,50.4621,-132.326
82,0.174383,52.3508,-134.947
83,0.168512,52.5625,-128.364
