Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,54.5865,-497.313
32,0.966572,47.3302,-495.171
33,0.934027,32.5787,-484.122
34,0.902578,35.1619,-475.017
35,0.872188,31.4115,-460.78
36,0.842822,31.0605,-444.269
37,0.814444,32.2507,-450.751
38,0.787021,31.7197,-435.923
39,0.760522,30.8683,-420.545
40,0.734915,29.9292,-409.119
41,0.710171,29.5383,-428.149
42,0.686259,32.9404,-410.238
43,0.663153,32.5904,-393.451
44,0.640824,29.6334,-374.181
45,0.619248,30.2744,-366.266
46,0.598397,29.6147,-367.05
47,0.578249,33.7137,-357.045
48,0.55878,31.3155,-354.322
49,0.539966,32.1068,-349.607
50,0.521785,30.4608,-337.294
51,0.504216,29.4025,-349.51
52,0.487239,32.2771,-351.226
53,0.470834,32.5577,-336.175
54,0.454981,31.109,-351.196
55,0.439662,29.5055,-349.222
56,0.424858,34.0487,-339.602
57,0.410553,31.3343,-345.018
58,0.39673,32.4903,-333.579
59,0.383372,33.4644,-321.929
60,0.370464,32.2123,-308.389
61,0.35799,30.7781,-301.463
62,0.345937,33.0832,-288.476
63,0.334289,29.6807,-282.786
64,0.323033,30.922,-293.086
65,0.312157,30.1809,-286.015
66,0.301646,31.8378,-267.272
67,0.29149,32.8546,-259.2
68,0.281675,31.9108,-277.527
69,0.272191,34.2803,-302.67
70,0.263027,34.3072,-329.441
71,0.254171,34.307,-335.675
72,0.245613,30.2153,-316.805
73,0.237343,32.9581,-312.45
74,0.229351,33.1672,-317.798
75,0.221629,32.8733,-325.922
76,0.214167,33.0568,-337.326
77,0.206956,36.1677,-372.457
78,0.199988,34.6324,-400.417
79,0.193254,33.7806,-404.227
80,0.186747,35.507,-411.317
81,0.180459,33.9903,-405.313
82,0.174383,35.2938,-405.367
