Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,0.401553,-497.313
32,0.93426,48.9863,-495.171
33,0.872406,41.6771,-482.167
34,0.814647,39.0598,-448.033
35,0.760712,32.6127,-439.025
36,0.710348,31.2452,-429.678
37,0.663319,31.1446,-431.993
38,0.619402,31.0346,-419.608
39,0.578394,31.0203,-417.355
40,0.540101,31.1291,-424.181
41,0.504342,31.8181,-412.058
42,0.470952,31.0977,-398.569
43,0.439772,30.9114,-407.474
44,0.410656,31.0174,-386.617
45,0.383468,31.0974,-371.255
46,0.35808,30.9807,-342.769
47,0.334372,30.9172,-323.335
48,0.312235,31.0647,-320.509
49,0.291563,31.2665,-299.461
50,0.272259,31.4053,-299.437
51,0.254234,32.0582,-292.562
52,0.237402,31.3631,-285.244
53,0.221685,31.531,-281.109
54,0.207008,31.1961,-278.307
55,0.193302,31.0603,-281.51
56,0.180504,31.1461,-278.191
57,0.168554,31.3039,-288.1
58,0.157394,30.9956,-274.296
59,0.146974,31.0317,-266.341
60,0.137243,31.1194,-252.327
61,0.128157,31.7084,-253.009
62,0.119672,31.1747,-250.276
63,0.111749,31.1582,-238.52
64,0.10435,31.3272,-224.33
65,0.0974418,31.224,-236.708
66,0.0909905,31.2452,-231.065
67,0.0849663,31.4807,-239.453
68,0.079341,31.6127,-224.37
69,0.0740881,31.6329,-222.651
70,0.069183,31.8282,-216.565
71,0.0646026,32.3861,-214.08
72,0.0603255,32.2219,-211.865
73,0.0563316,32.29,-212.259
74,0.0526021,32.4782,-214.327
75,0.0491195,32.4973,-201.355
76,0.0458674,32.426,-197.338
77,0.0428307,32.5675,-188.846
78,0.039995,32.5942,-181.848
79,0.0373471,32.6096,-189.741
80,0.0348745,32.6858,-181.33
81,0.0325656,32.7171,-186.637
82,0.0304095,32.8347,-199.609
