Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.4479
1,1,0,1.55513
2,1,0,2.90981
3,1,0,3.2816
4,1,0,3.43919
5,1,0,3.32026
6,1,0,3.9487
7,1,0,3.73456
8,1,0,4.22073
9,1,0,4.38519
10,1,0,4.39198
11,1,0,5.12465
12,1,0,5.42814
13,1,0,6.02838
14,1,0,6.16664
15,1,0,5.84006
16,1,0,6.89226
17,1,0,6.6077
18,1,0,6.80318
19,1,0,7.73469
20,1,0,7.61355
21,1,0,7.39936
22,1,0,7.12482
23,1,0,7.42645
24,1,0,7.56626
25,1,0,7.99314
26,1,0,8.05954
27,1,0,7.85989
28,1,0,7.34632
29,1,0,7.49743
30,1,0,7.1096
31,1,0.00941785,7.25403
32,0.969718,0.979428,7.18224
33,0.940118,0.648659,7.20864
34,0.911421,0.415126,6.65107
35,0.883601,0.361694,6.91423
36,0.856629,0.336755,7.17951
37,0.830481,0.318218,6.27359
38,0.805131,0.299378,6.4278
39,0.780555,0.284361,7.13721
40,0.756729,0.269664,7.85178
41,0.73363,1.41406,8.69504
42,0.711237,1.06196,10.3766
43,0.689527,0.955811,10.6882
44,0.668479,0.900231,11.5269
45,0.648074,0.86667,11.7507
46,0.628292,0.847044,12.0076
47,0.609114,0.833077,13.0214
48,0.590521,0.829323,12.5476
49,0.572496,0.820927,13.167
50,0.555021,0.807643,13.8402
51,0.538079,0.80312,14.4372
52,0.521654,0.7926,14.854
53,0.505731,0.786701,15.0004
54,0.490294,0.777548,15.2494
55,0.475328,0.773063,15.2948
56,0.460819,0.763563,15.7138
57,0.446753,0.758668,15.3971
58,0.433116,0.751563,15.898
59,0.419895,0.743125,15.8413
60,0.407078,0.733183,16.2433
61,0.394652,0.844542,17.3522
62,0.382606,0.525531,17.7494
63,0.370927,0.448789,18.3454
64,0.359605,0.413338,18.4226
65,0.348628,0.381404,18.9183
66,0.337986,0.369668,18.8701
67,0.327669,0.360239,19.5658
68,0.317668,0.35169,19.9422
69,0.307971,0.33888,20.5524
70,0.29857,0.33481,20.9073
71,0.289457,0.32994,21.7278
72,0.280621,0.325201,20.9626
73,0.272055,0.320116,20.7936
74,0.263751,0.31157,21.44
75,0.2557,0.304244,22.1838
76,0.247895,0.298417,22.1417
77,0.240328,0.297813,22.6262
78,0.232992,0.288557,23.4146
79,0.22588,0.282007,23.2903
80,0.218985,0.275658,23.9085
81,0.212301,0.72949,23.7908
82,0.205821,0.575124,24.6103
83,0.199538,0.559353,25.1483
84,0.193447,0.548345,25.1557
85,0.187542,0.543661,25.3804
86,0.181818,0.539788,25.3121
87,0.176268,0.537533,26.0347
88,0.170887,0.532617,26.1605
89,0.165671,0.531769,26.1303
90,0.160614,0.529921,26.5971
91,0.155712,0.534522,27.0355
92,0.150959,0.523165,27.2442
93,0.146351,0.526034,27.3986
94,0.141883,0.523376,27.1724
95,0.137552,0.520017,27.0627
96,0.133354,0.522614,26.7944
97,0.129283,0.522686,26.8387
98,0.125337,0.521962,26.8606
99,0.121511,0.526459,26.6015
100,0.117802,0.524738,26.676
101,0.114206,0.46331,26.7461
102,0.11072,0.321859,26.8936
103,0.10734,0.311579,26.6877
104,0.104064,0.311484,27.1912
105,0.100887,0.310141,26.9809
106,0.0978079,0.30855,27.3575
107,0.0948224,0.309379,27.8947
108,0.091928,0.308553,28.1231
109,0.0891219,0.305483,28.2613
110,0.0864015,0.304443,28.7244
111,0.0837642,0.308621,28.5788
112,0.0812073,0.305107,28.6697
113,0.0787285,0.303628,28.9467
114,0.0763254,0.303184,28.6852
115,0.0739956,0.305255,28.8071
116,0.0717369,0.305931,28.8217
117,0.0695472,0.304858,28.8815
118,0.0674243,0.306844,29.027
119,0.0653662,0.307593,28.4952
120,0.0633709,0.307065,28.8648
121,0.0614366,0.518586,28.9628
122,0.0595613,0.42518,29.2522
123,0.0577432,0.426245,29.1924
124,0.0559806,0.427305,29.271
125,0.0542718,0.42094,29.5939
126,0.0526152,0.425827,29.9052
127,0.0510092,0.42386,30.2177
128,0.0494521,0.423827,30.4337
129,0.0479426,0.424186,30.7315
130,0.0464792,0.422241,30.497
131,0.0450605,0.421591,30.7602
132,0.043685,0.415238,30.5893
133,0.0423516,0.412916,30.3689
134,0.0410588,0.4107,30.6185
135,0.0398055,0.411496,30.7862
136,0.0385905,0.412204,31.0737
137,0.0374125,0.407527,31.2548
138,0.0362705,0.407112,31.3678
139,0.0351634,0.403446,31.3265
140,0.03409,0.401275,31.2172
141,0.0330495,0.484049,30.8573
142,0.0320406,0.413565,30.6776
143,0.0310626,0.413603,30.716
144,0.0301145,0.408673,30.376
145,0.0291952,0.408343,30.5437
146,0.0283041,0.406221,30.8221
147,0.0274401,0.406377,30.9175
148,0.0266025,0.403206,31.3039
149,0.0257905,0.40206,31.1882
150,0.0250032,0.402342,31.1827
151,0.02424,0.400702,31.2626
152,0.0235001,0.393945,31.4892
153,0.0227828,0.397598,31.4754
154,0.0220874,0.393835,31.2784
155,0.0214132,0.392989,31.2629
156,0.0207595,0.395311,31.5642
157,0.0201259,0.396558,31.2428
